"province","assembly","constituency_number","count"
"Punjab","Provincial Assembly","PP-10",24
"Punjab","Provincial Assembly","PP-100",29
"Punjab","Provincial Assembly","PP-101",25
"Punjab","Provincial Assembly","PP-102",35
"Punjab","Provincial Assembly","PP-103",17
"Punjab","Provincial Assembly","PP-104",19
"Punjab","Provincial Assembly","PP-105",21
"Punjab","Provincial Assembly","PP-106",27
"Punjab","Provincial Assembly","PP-107",30
"Punjab","Provincial Assembly","PP-108",14
"Punjab","Provincial Assembly","PP-109",17
"Punjab","Provincial Assembly","PP-11",27
"Punjab","Provincial Assembly","PP-110",26
"Punjab","Provincial Assembly","PP-111",37
"Punjab","Provincial Assembly","PP-112",30
"Punjab","Provincial Assembly","PP-113",23
"Punjab","Provincial Assembly","PP-114",4
"Punjab","Provincial Assembly","PP-115",36
"Punjab","Provincial Assembly","PP-116",22
"Punjab","Provincial Assembly","PP-117",43
"Punjab","Provincial Assembly","PP-118",15
"Punjab","Provincial Assembly","PP-119",21
"Punjab","Provincial Assembly","PP-12",19
"Punjab","Provincial Assembly","PP-120",13
"Punjab","Provincial Assembly","PP-121",21
"Punjab","Provincial Assembly","PP-122",27
"Punjab","Provincial Assembly","PP-123",23
"Punjab","Provincial Assembly","PP-124",18
"Punjab","Provincial Assembly","PP-125",14
"Punjab","Provincial Assembly","PP-126",22
"Punjab","Provincial Assembly","PP-127",18
"Punjab","Provincial Assembly","PP-128",13
"Punjab","Provincial Assembly","PP-129",17
"Punjab","Provincial Assembly","PP-13",23
"Punjab","Provincial Assembly","PP-130",10
"Punjab","Provincial Assembly","PP-131",19
"Punjab","Provincial Assembly","PP-132",22
"Punjab","Provincial Assembly","PP-133",28
"Punjab","Provincial Assembly","PP-134",27
"Punjab","Provincial Assembly","PP-135",6
"Punjab","Provincial Assembly","PP-136",19
"Punjab","Provincial Assembly","PP-137",13
"Punjab","Provincial Assembly","PP-138",25
"Punjab","Provincial Assembly","PP-139",24
"Punjab","Provincial Assembly","PP-14",41
"Punjab","Provincial Assembly","PP-140",39
"Punjab","Provincial Assembly","PP-141",26
"Punjab","Provincial Assembly","PP-142",34
"Punjab","Provincial Assembly","PP-143",25
"Punjab","Provincial Assembly","PP-144",36
"Punjab","Provincial Assembly","PP-145",31
"Punjab","Provincial Assembly","PP-146",24
"Punjab","Provincial Assembly","PP-147",34
"Punjab","Provincial Assembly","PP-148",33
"Punjab","Provincial Assembly","PP-149",30
"Punjab","Provincial Assembly","PP-15",26
"Punjab","Provincial Assembly","PP-150",24
"Punjab","Provincial Assembly","PP-151",20
"Punjab","Provincial Assembly","PP-152",24
"Punjab","Provincial Assembly","PP-153",37
"Punjab","Provincial Assembly","PP-154",18
"Punjab","Provincial Assembly","PP-155",32
"Punjab","Provincial Assembly","PP-156",29
"Punjab","Provincial Assembly","PP-157",13
"Punjab","Provincial Assembly","PP-158",29
"Punjab","Provincial Assembly","PP-159",36
"Punjab","Provincial Assembly","PP-16",35
"Punjab","Provincial Assembly","PP-160",28
"Punjab","Provincial Assembly","PP-161",16
"Punjab","Provincial Assembly","PP-162",29
"Punjab","Provincial Assembly","PP-163",30
"Punjab","Provincial Assembly","PP-164",36
"Punjab","Provincial Assembly","PP-165",37
"Punjab","Provincial Assembly","PP-166",42
"Punjab","Provincial Assembly","PP-167",38
"Punjab","Provincial Assembly","PP-168",36
"Punjab","Provincial Assembly","PP-169",33
"Punjab","Provincial Assembly","PP-17",29
"Punjab","Provincial Assembly","PP-170",31
"Punjab","Provincial Assembly","PP-171",34
"Punjab","Provincial Assembly","PP-172",42
"Punjab","Provincial Assembly","PP-173",20
"Punjab","Provincial Assembly","PP-174",25
"Punjab","Provincial Assembly","PP-175",32
"Punjab","Provincial Assembly","PP-176",18
"Punjab","Provincial Assembly","PP-177",32
"Punjab","Provincial Assembly","PP-178",23
"Punjab","Provincial Assembly","PP-179",10
"Punjab","Provincial Assembly","PP-18",11
"Punjab","Provincial Assembly","PP-180",10
"Punjab","Provincial Assembly","PP-181",18
"Punjab","Provincial Assembly","PP-182",44
"Punjab","Provincial Assembly","PP-183",22
"Punjab","Provincial Assembly","PP-184",21
"Punjab","Provincial Assembly","PP-185",21
"Punjab","Provincial Assembly","PP-186",17
"Punjab","Provincial Assembly","PP-187",18
"Punjab","Provincial Assembly","PP-188",15
"Punjab","Provincial Assembly","PP-189",4
"Punjab","Provincial Assembly","PP-19",11
"Punjab","Provincial Assembly","PP-190",20
"Punjab","Provincial Assembly","PP-191",26
"Punjab","Provincial Assembly","PP-192",18
"Punjab","Provincial Assembly","PP-193",14
"Punjab","Provincial Assembly","PP-194",14
"Punjab","Provincial Assembly","PP-195",12
"Punjab","Provincial Assembly","PP-196",11
"Punjab","Provincial Assembly","PP-197",15
"Punjab","Provincial Assembly","PP-198",15
"Punjab","Provincial Assembly","PP-199",16
"Punjab","Provincial Assembly","PP-2",9
"Punjab","Provincial Assembly","PP-20",23
"Punjab","Provincial Assembly","PP-200",11
"Punjab","Provincial Assembly","PP-201",9
"Punjab","Provincial Assembly","PP-202",13
"Punjab","Provincial Assembly","PP-203",17
"Punjab","Provincial Assembly","PP-204",21
"Punjab","Provincial Assembly","PP-205",12
"Punjab","Provincial Assembly","PP-206",20
"Punjab","Provincial Assembly","PP-207",15
"Punjab","Provincial Assembly","PP-208",12
"Punjab","Provincial Assembly","PP-209",12
"Punjab","Provincial Assembly","PP-21",14
"Punjab","Provincial Assembly","PP-210",10
"Punjab","Provincial Assembly","PP-211",25
"Punjab","Provincial Assembly","PP-212",30
"Punjab","Provincial Assembly","PP-213",36
"Punjab","Provincial Assembly","PP-214",23
"Punjab","Provincial Assembly","PP-215",19
"Punjab","Provincial Assembly","PP-216",31
"Punjab","Provincial Assembly","PP-217",22
"Punjab","Provincial Assembly","PP-218",16
"Punjab","Provincial Assembly","PP-219",2
"Punjab","Provincial Assembly","PP-22",20
"Punjab","Provincial Assembly","PP-220",16
"Punjab","Provincial Assembly","PP-221",13
"Punjab","Provincial Assembly","PP-222",15
"Punjab","Provincial Assembly","PP-223",28
"Punjab","Provincial Assembly","PP-224",12
"Punjab","Provincial Assembly","PP-225",14
"Punjab","Provincial Assembly","PP-226",14
"Punjab","Provincial Assembly","PP-227",18
"Punjab","Provincial Assembly","PP-228",10
"Punjab","Provincial Assembly","PP-229",27
"Punjab","Provincial Assembly","PP-23",16
"Punjab","Provincial Assembly","PP-230",21
"Punjab","Provincial Assembly","PP-231",21
"Punjab","Provincial Assembly","PP-232",17
"Punjab","Provincial Assembly","PP-233",23
"Punjab","Provincial Assembly","PP-234",18
"Punjab","Provincial Assembly","PP-235",13
"Punjab","Provincial Assembly","PP-236",17
"Punjab","Provincial Assembly","PP-237",13
"Punjab","Provincial Assembly","PP-238",13
"Punjab","Provincial Assembly","PP-239",26
"Punjab","Provincial Assembly","PP-24",17
"Punjab","Provincial Assembly","PP-240",27
"Punjab","Provincial Assembly","PP-241",20
"Punjab","Provincial Assembly","PP-242",17
"Punjab","Provincial Assembly","PP-243",11
"Punjab","Provincial Assembly","PP-244",22
"Punjab","Provincial Assembly","PP-245",15
"Punjab","Provincial Assembly","PP-246",40
"Punjab","Provincial Assembly","PP-247",8
"Punjab","Provincial Assembly","PP-248",9
"Punjab","Provincial Assembly","PP-249",11
"Punjab","Provincial Assembly","PP-25",20
"Punjab","Provincial Assembly","PP-250",13
"Punjab","Provincial Assembly","PP-251",8
"Punjab","Provincial Assembly","PP-252",15
"Punjab","Provincial Assembly","PP-253",13
"Punjab","Provincial Assembly","PP-254",6
"Punjab","Provincial Assembly","PP-255",9
"Punjab","Provincial Assembly","PP-256",12
"Punjab","Provincial Assembly","PP-257",16
"Punjab","Provincial Assembly","PP-258",20
"Punjab","Provincial Assembly","PP-259",28
"Punjab","Provincial Assembly","PP-26",26
"Punjab","Provincial Assembly","PP-260",22
"Punjab","Provincial Assembly","PP-261",23
"Punjab","Provincial Assembly","PP-262",19
"Punjab","Provincial Assembly","PP-263",16
"Punjab","Provincial Assembly","PP-264",10
"Punjab","Provincial Assembly","PP-265",16
"Punjab","Provincial Assembly","PP-266",29
"Punjab","Provincial Assembly","PP-267",14
"Punjab","Provincial Assembly","PP-268",17
"Punjab","Provincial Assembly","PP-269",25
"Punjab","Provincial Assembly","PP-27",26
"Punjab","Provincial Assembly","PP-270",35
"Punjab","Provincial Assembly","PP-271",15
"Punjab","Provincial Assembly","PP-272",16
"Punjab","Provincial Assembly","PP-273",17
"Punjab","Provincial Assembly","PP-274",9
"Punjab","Provincial Assembly","PP-275",19
"Punjab","Provincial Assembly","PP-276",22
"Punjab","Provincial Assembly","PP-277",20
"Punjab","Provincial Assembly","PP-278",19
"Punjab","Provincial Assembly","PP-279",21
"Punjab","Provincial Assembly","PP-28",15
"Punjab","Provincial Assembly","PP-280",16
"Punjab","Provincial Assembly","PP-281",16
"Punjab","Provincial Assembly","PP-282",18
"Punjab","Provincial Assembly","PP-283",13
"Punjab","Provincial Assembly","PP-284",22
"Punjab","Provincial Assembly","PP-285",24
"Punjab","Provincial Assembly","PP-286",14
"Punjab","Provincial Assembly","PP-287",16
"Punjab","Provincial Assembly","PP-288",13
"Punjab","Provincial Assembly","PP-289",31
"Punjab","Provincial Assembly","PP-29",24
"Punjab","Provincial Assembly","PP-290",21
"Punjab","Provincial Assembly","PP-291",16
"Punjab","Provincial Assembly","PP-292",19
"Punjab","Provincial Assembly","PP-293",11
"Punjab","Provincial Assembly","PP-294",13
"Punjab","Provincial Assembly","PP-295",16
"Punjab","Provincial Assembly","PP-296",17
"Punjab","Provincial Assembly","PP-297",8
"Punjab","Provincial Assembly","PP-3",23
"Punjab","Provincial Assembly","PP-30",19
"Punjab","Provincial Assembly","PP-31",38
"Punjab","Provincial Assembly","PP-32",13
"Punjab","Provincial Assembly","PP-33",31
"Punjab","Provincial Assembly","PP-34",20
"Punjab","Provincial Assembly","PP-35",21
"Punjab","Provincial Assembly","PP-36",17
"Punjab","Provincial Assembly","PP-37",14
"Punjab","Provincial Assembly","PP-38",18
"Punjab","Provincial Assembly","PP-39",33
"Punjab","Provincial Assembly","PP-4",15
"Punjab","Provincial Assembly","PP-40",29
"Punjab","Provincial Assembly","PP-41",35
"Punjab","Provincial Assembly","PP-42",29
"Punjab","Provincial Assembly","PP-43",25
"Punjab","Provincial Assembly","PP-44",29
"Punjab","Provincial Assembly","PP-45",14
"Punjab","Provincial Assembly","PP-46",15
"Punjab","Provincial Assembly","PP-47",33
"Punjab","Provincial Assembly","PP-48",23
"Punjab","Provincial Assembly","PP-49",19
"Punjab","Provincial Assembly","PP-5",21
"Punjab","Provincial Assembly","PP-50",18
"Punjab","Provincial Assembly","PP-51",20
"Punjab","Provincial Assembly","PP-52",23
"Punjab","Provincial Assembly","PP-53",36
