"province","assembly","constituency_number","missing_candidate_number","candidate_code"
"Sindh","Provincial Assembly","PS-128",15,"PS-128-15"
"Sindh","Provincial Assembly","PS-128",16,"PS-128-16"
"Sindh","Provincial Assembly","PS-128",19,"PS-128-19"
"Sindh","Provincial Assembly","PS-128",21,"PS-128-21"
"Sindh","Provincial Assembly","PS-129",15,"PS-129-15"
"Sindh","Provincial Assembly","PS-129",22,"PS-129-22"
"Sindh","Provincial Assembly","PS-13",9,"PS-13-9"
"Sindh","Provincial Assembly","PS-17",9,"PS-17-9"
"Sindh","Provincial Assembly","PS-18",1,"PS-18-1"
"Sindh","Provincial Assembly","PS-18",2,"PS-18-2"
"Sindh","Provincial Assembly","PS-18",3,"PS-18-3"
"Sindh","Provincial Assembly","PS-19",15,"PS-19-15"
"Sindh","Provincial Assembly","PS-19",16,"PS-19-16"
"Sindh","Provincial Assembly","PS-19",17,"PS-19-17"
"Sindh","Provincial Assembly","PS-21",15,"PS-21-15"
"Sindh","Provincial Assembly","PS-21",16,"PS-21-16"
"Sindh","Provincial Assembly","PS-22",14,"PS-22-14"
"Sindh","Provincial Assembly","PS-23",17,"PS-23-17"
"Sindh","Provincial Assembly","PS-25",19,"PS-25-19"
"Sindh","Provincial Assembly","PS-25",20,"PS-25-20"
"Sindh","Provincial Assembly","PS-25",23,"PS-25-23"
"Sindh","Provincial Assembly","PS-25",24,"PS-25-24"
"Sindh","Provincial Assembly","PS-25",25,"PS-25-25"
"Sindh","Provincial Assembly","PS-25",27,"PS-25-27"
"Sindh","Provincial Assembly","PS-25",28,"PS-25-28"
"Sindh","Provincial Assembly","PS-25",31,"PS-25-31"
"Sindh","Provincial Assembly","PS-25",33,"PS-25-33"
"Sindh","Provincial Assembly","PS-25",34,"PS-25-34"
"Sindh","Provincial Assembly","PS-25",35,"PS-25-35"
"Sindh","Provincial Assembly","PS-26",8,"PS-26-8"
"Sindh","Provincial Assembly","PS-26",9,"PS-26-9"
"Sindh","Provincial Assembly","PS-26",11,"PS-26-11"
"Sindh","Provincial Assembly","PS-26",13,"PS-26-13"
"Sindh","Provincial Assembly","PS-26",15,"PS-26-15"
"Sindh","Provincial Assembly","PS-26",16,"PS-26-16"
"Sindh","Provincial Assembly","PS-26",17,"PS-26-17"
"Sindh","Provincial Assembly","PS-26",18,"PS-26-18"
"Sindh","Provincial Assembly","PS-28",9,"PS-28-9"
"Sindh","Provincial Assembly","PS-29",5,"PS-29-5"
"Sindh","Provincial Assembly","PS-29",6,"PS-29-6"
"Sindh","Provincial Assembly","PS-29",8,"PS-29-8"
"Sindh","Provincial Assembly","PS-29",9,"PS-29-9"
"Sindh","Provincial Assembly","PS-29",10,"PS-29-10"
"Sindh","Provincial Assembly","PS-29",11,"PS-29-11"
"Sindh","Provincial Assembly","PS-3",9,"PS-3-9"
"Sindh","Provincial Assembly","PS-3",10,"PS-3-10"
"Sindh","Provincial Assembly","PS-3",11,"PS-3-11"
"Sindh","Provincial Assembly","PS-3",12,"PS-3-12"
"Sindh","Provincial Assembly","PS-3",13,"PS-3-13"
"Sindh","Provincial Assembly","PS-30",11,"PS-30-11"
"Sindh","Provincial Assembly","PS-31",10,"PS-31-10"
"Sindh","Provincial Assembly","PS-31",11,"PS-31-11"
"Sindh","Provincial Assembly","PS-31",12,"PS-31-12"
"Sindh","Provincial Assembly","PS-31",13,"PS-31-13"
"Sindh","Provincial Assembly","PS-31",15,"PS-31-15"
